HGNC approved symbol	HGNC approved name	UniProt ID (human)	Pfam domains	UniProt ID (mouse)	Function	Modification	Protein complex	Target entity	Product
CECR2	cat eye syndrome chromosome region, candidate 2	CECR2_HUMAN	Bromodomain PF00439 446-524	#	Histone modification read	#	CERF, CERF	H2A, H3	#
CELF1	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1_HUMAN	RRM_1 PF00076 19-85 110-174 403-473	CELF1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
CELF2	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (hNAPOR) (RNA-binding protein BRUNOL-3)	CELF2_HUMAN	RRM_1 PF00076 43-110 134-198 425-495	CELF2_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
CELF3	CUGBP Elav-like family member 3 (CELF-3) (Bruno-like protein 1) (CAG repeat protein 4) (CUG-BP- and ETR-3-like factor 3) (ELAV-type RNA-binding protein 1) (ETR-1) (Expanded repeat domain protein CAG/CTG 4) (RNA-binding protein BRUNOL-1) (Trinucleotide repeat-containing gene 4 protein)	CELF3_HUMAN	RRM_1 PF00076 9-75 97-161 382-452	CELF3_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
CELF4	CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)	CELF4_HUMAN	RRM_1 PF00076 56-121 154-216 442-473	CELF4_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
CELF5	CUGBP Elav-like family member 5 (CELF-5) (Bruno-like protein 5) (CUG-BP- and ETR-3-like factor 5) (RNA-binding protein BRUNOL-5)	CELF5_HUMAN	RRM_1 PF00076 47-112 136-198 402-472	D3Z4T1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
CELF6	CUGBP Elav-like family member 6 (CELF-6) (Bruno-like protein 6) (CUG-BP- and ETR-3-like factor 6) (RNA-binding protein BRUNOL-6)	CELF6_HUMAN	RRM_1 PF00076 48-113 136-199 398-468	CELF6_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
CENPC	centromere protein C	CENPC_HUMAN	CENP_C_N PF15622 1-320, CENP-C_mid PF15620 324-596, CENP-C_C PF11699 857-940	CENPC_MOUSE	DNA modification	DNA methylation	#	C	5mC
CHAF1A	chromatin assembly factor 1, subunit A (p150)	CAF1A_HUMAN	CAF1-p150_N PF15557 18-224, CAF-1_p150 PF11600 324-482, CAF1A PF12253 560-633, CAF1-p150_C2 PF15539 666-932	CAF1A_MOUSE	Chromatin remodeling	#	CAF-1	H3, H4	#
CHAF1B	chromatin assembly factor 1, subunit B (p60)	CAF1B_HUMAN	WD40 PF00400 60-94 121-157 162-199 345-372, CAF-1_p60_C PF15512 384-540	CAF1B_MOUSE	Chromatin remodeling	#	WINAC, CAF-1	H3, H4	#
CHD1	chromodomain helicase DNA binding protein 1	CHD1_HUMAN	Chromo PF00385 313-351 389-443, SNF2-rel_dom PF00176 482-764, Helicase_C PF00271 789-902, CDH1_2_SANT_HL1 PF18375 1124-1211, CHD1-like_C PF13907 1409-1500	CHD1_MOUSE	Chromatin remodeling	#	#	#	#
CHD1L	chromodomain helicase DNA binding protein 1-like	CHD1L_HUMAN	SNF2-rel_dom PF00176 49-327, Helicase_C PF00271 348-459	CHD1L_MOUSE	Chromatin remodeling	#	#	#	#
CHD2	chromodomain helicase DNA binding protein 2	CHD2_HUMAN	Chromo PF00385 300-338 378-447, SNF2-rel_dom PF00176 487-767, Helicase_C PF00271 792-905, CDH1_2_SANT_HL1 PF18375 1129-1219, CHD1-like_C PF13907 1465-1553	CHD2_MOUSE	Chromatin remodeling	#	#	#	#
CHD3	chromodomain helicase DNA binding protein 3	CHD3_HUMAN	CHDNT PF08073 155-201, PHD PF00628 382-423 458-500, Chromo PF00385 630-682, SNF2-rel_dom PF00176 738-1034, Helicase_C PF00271 1061-1174, DUF1087 PF06465 1294-1350, CHDII_SANT-like PF06461 1376-1517, CHDCT2 PF08074 1737-1884	#	Chromatin remodeling	#	NuRD	#	#
CHD4	chromodomain helicase DNA binding protein 4	CHD4_HUMAN	CHDNT PF08073 165-217, PHD PF00628 373-414 452-493, Chromo PF00385 621-673, SNF2-rel_dom PF00176 728-1024, Helicase_C PF00271 1052-1164, DUF1087 PF06465 1291-1350, CHDII_SANT-like PF06461 1379-1520, CHDCT2 PF08074 1726-1872	CHD4_MOUSE	Chromatin remodeling	#	NuRD	#	#
CHD5	chromodomain helicase DNA binding protein 5	CHD5_HUMAN	CHDNT PF08073 149-200, PHD PF00628 346-387 418-460, Chromo PF00385 590-643, SNF2-rel_dom PF00176 701-998, Helicase_C PF00271 1025-1138, DUF1087 PF06465 1299-1354, CHDII_SANT-like PF06461 1383-1527, CHDCT2 PF08074 1733-1879	CHD5_MOUSE	Chromatin remodeling	#	#	H3K27me3, H3K4	#
CHD6	chromodomain helicase DNA binding protein 6	CHD6_HUMAN	Chromo PF00385 292-354 375-428, SNF2-rel_dom PF00176 464-750, Helicase_C PF00271 784-897	CHD6_MOUSE	Chromatin remodeling	#	#	#	#
CHD7	chromodomain helicase DNA binding protein 7	CHD7_HUMAN	Chromo PF00385 801-861 881-935, SNF2-rel_dom PF00176 968-1257, Helicase_C PF00271 1291-1404, BRK PF07533 2563-2609 2644-2687	CHD7_MOUSE	Chromatin remodeling	#	#	#	#
CHD8	chromodomain helicase DNA binding protein 8	CHD8_HUMAN	Chromo PF00385 642-703 724-778, SNF2-rel_dom PF00176 813-1100, Helicase_C PF00271 1135-1247, BRK PF07533 2310-2351	CHD8_MOUSE	Chromatin remodeling	#	CHD8, MLL2/3, MLL4/WBP7	H1	#
CHD9	chromodomain helicase DNA binding protein 9	CHD9_HUMAN	Chromo PF00385 690-751 773-827, SNF2-rel_dom PF00176 863-1149, Helicase_C PF00271 1183-1296, BRK PF07533 2484-2528 2555-2603	CHD9_MOUSE	Chromatin remodeling	#	#	#	#
CHEK1	checkpoint kinase 1	CHK1_HUMAN	Pkinase PF00069 10-264	CHK1_MOUSE	Histone modification write	Histone phosphorylation	#	H3.1	H3.1ph
CHRAC1	chromatin accessibility complex 1	CHRC1_HUMAN	CBFD_NFYB_HMF PF00808 18-79	CHRC1_MOUSE	Histone chaperone	#	CHRAC	#	#
CHTOP	chromatin target of PRMT1	CHTOP_HUMAN	FoP_duplication PF13865 167-243	CHTOP_MOUSE	#	#	#	#	#
CHUK	conserved helix-loop-helix ubiquitous kinase	IKKA_HUMAN	Pkinase PF00069 16-290, IKBKB_SDD PF18397 387-658, IKKbetaNEMObind PF12179 708-744	IKKA_MOUSE	Histone modification write	Histone phosphorylation	#	H3	#
CIR1	corepressor interacting with RBPJ, 1	CIR1_HUMAN	Cir_N PF10197 13-49	CIR1_MOUSE	Histone modification read	#	#	#	#
CIT	citron rho-interacting serine/threonine kinase	CTRO_HUMAN	Pkinase PF00069 97-360, Pkinase_C PF00433 376-422, PH PF00169 1445-1563, CNH PF00780 1602-1855	CTRO_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone phosphorylation	#	H3K9	H3K9me
CLNS1A	chloride channel, nucleotide-sensitive, 1A	ICLN_HUMAN	Voldacs PF03517 35-159	ICLN_MOUSE	Histone modification write cofactor	Histone methylation	methylosome	#	#
CLOCK	clock circadian regulator	CLOCK_HUMAN	HLH PF00010 34-83, PAS PF00989 109-177, PAS_11 PF14598 274-377	CLOCK_MOUSE	Histone modification write	Histone acetylation	#	H3, H4	#
CRB2	crumbs family member 2	CRUM2_HUMAN	EGF PF00008 110-144 149-179 188-259 321-356 361-384 609-639 811-841 1060-1092 1176-1209, Laminin_G_2 PF02210 503-587 668-775 898-1020, hEGF PF12661 1098-1128 1137-1171	CRUM2_MOUSE	Histone modification read	#	#	H4K20	#
CREBBP	CREB binding protein	CBP_HUMAN	zf-TAZ PF02135 351-431 1772-1843, KIX PF02172 590-669, Bromodomain PF00439 1103-1176, RING_CBP-p300 PF06001 1192-1230, HAT_KAT11 PF08214 1340-1645, ZZ PF00569 1702-1743, Creb_binding PF09030 2035-2111	CBP_MOUSE	Histone modification write	Histone acetylation	#	#	#
CSNK2A1	casein kinase 2, alpha 1 polypeptide	CSK21_HUMAN	Pkinase PF00069 39-324	CSK21_MOUSE	Histone modification	#	RING2-FBRS	#	#
CSRP2BP	CSRP2 binding protein	CSR2B_HUMAN	Acetyltransf_1 PF00583 669-751	CSR2B_MOUSE	Histone modification write	Histone acetylation	ATAC	H4	#
CTBP1	C-terminal binding protein 1	CTBP1_HUMAN	2-Hacid_dh_C PF02826 135-317	CTBP1_MOUSE	Chromatin remodeling	#	LSD-CoREST	#	#
CTBP2	C-terminal binding protein 2	CTBP2_HUMAN	2-Hacid_dh_C PF02826 141-323	CTBP2_MOUSE	Histone modification write cofactor	Histone methylation	#	H3K9	H3K9me, H3K9me2
CTCF	CCCTC-binding factor (zinc finger protein)	CTCF_HUMAN	zf-C2H2 PF00096 266-288 294-316 322-345 351-373 379-401 437-460 555-575	CTCF_MOUSE	Chromatin remodeling, TF	TF activator	#	DNA motif	#
CTCFL	CCCTC-binding factor (zinc finger protein)-like	CTCFL_HUMAN	zf-C2H2 PF00096 313-336 342-364 398-421 428-451 546-566	CTCFL_MOUSE	Chromatin remodeling	#	#	#	#
CTR9	CTR9, Paf1/RNA polymerase II complex component	CTR9_HUMAN	TPR_19 PF14559 170-231 508-564 715-750, TPR_8 PF13181 312-373 681-714, TPR_10 PF13374 451-484, domain PF13432 567-680	CTR9_MOUSE	Histone modification cofactor	#	#	H3K36	#
CUL1	cullin 1	CUL1_HUMAN	Cullin PF00888 20-662, Cullin_Nedd8 PF10557 706-766	CUL1_MOUSE	Chromatin remodeling cofactor	#	#	H3K9me3, H3K36me3, H1.4K26me3	H3K9, H3K36, H1.4K26
CUL2	cullin 2	CUL2_HUMAN	Cullin PF00888 13-644, Cullin_Nedd8 PF10557 675-736	CUL2_MOUSE	Chromatin remodeling cofactor	#	#	HP1 (Heterochromatin protein 1)	#
CUL3	cullin 3	CUL3_HUMAN	Cullin PF00888 34-665, Cullin_Nedd8 PF10557 698-760	CUL3_MOUSE	Histone modification write	Histone ubiquitination	#	MACROH2A	#
CUL4A	cullin 4A	CUL4A_HUMAN	Cullin PF00888 63-661, Cullin_Nedd8 PF10557 691-751	CUL4A_MOUSE	Histone modification write	Histone ubiquitination	#	H3, H4	#
CUL4B	cullin 4B	CUL4B_HUMAN	Cullin PF00888 214-814, Cullin_Nedd8 PF10557 844-905	CUL4B_MOUSE	Histone modification write	Histone ubiquitination	#	H3, H4	#
CUL5	cullin 5	CUL5_HUMAN	Cullin PF00888 18-671, Cullin_Nedd8 PF10557 711-772	CUL5_MOUSE	DNA modification cofactor	DNA methylation	#	#	#
CXXC1	CXXC finger protein 1	CXXC1_HUMAN	PHD PF00628 29-73, zf-CXXC PF02008 163-208, CpG_bind_C PF12269 400-636	CXXC1_MOUSE	Chromatin remodeling, TF	#	COMPASS	CG, DNA motif	#
DAPK3	death-associated protein kinase 3	DAPK3_HUMAN	Pkinase PF00069 13-275	DAPK3_MOUSE	Histone modification write	Histone phosphorylation	#	H3T11	#
DAXX	death-domain associated protein	DAXX_HUMAN	Daxx PF03344 56-145, DAXX_hist_bd PF20920 301-381	DAXX_MOUSE	#	#	#	H3.3	#
DDB1	damage-specific DNA binding protein 1, 127kDa	DDB1_HUMAN	MMS1_N PF10433 75-542, CPSF_A PF03178 788-1100	DDB1_MOUSE	Histone modification write	Histone ubiquitination	#	H2A	#
DDB2	damage-specific DNA binding protein 2, 48kDa	DDB2_HUMAN	WD40 PF00400 234-271 284-316	DDB2_MOUSE	Histone modification write cofactor	Histone ubiquitination	#	#	#
DDX17	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)	DDX17_HUMAN	DEAD PF00270 195-365, Helicase_C PF00271 405-512	DDX17_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
DDX21	DEAD (Asp-Glu-Ala-Asp) box helicase 21	DDX21_HUMAN	DEAD PF00270 211-383, Helicase_C PF00271 434-532, GUCT PF08152 620-708	DDX21_MOUSE	RNA modification	#	B-WICH	#	#
DDX5	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	DDX5_HUMAN	DEAD PF00270 118-288, Helicase_C PF00271 328-435, P68HR PF08061 500-532 551-583	DDX5_MOUSE	RNA modification	Alternative splicing	#	RNA	#
DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50	DDX50_HUMAN	DEAD PF00270 162-334, Helicase_C PF00271 385-483, GUCT PF08152 574-662	DDX50_MOUSE	RNA modification	#	#	#	#
DEK	DEK proto-oncogene	DEK_HUMAN	DEK_C PF08766 320-374	DEK_MOUSE	Chromatin remodeling	#	B-WICH	H4	#
DHX9	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9_HUMAN	dsrm PF00035 4-70 180-251, DEAD PF00270 395-547, Helicase_C PF00271 639-768, HA2_N PF04408 832-860, HA2_C PF21010 861-919, OB_NTP_bind PF07717 991-1073	DHX9_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
DMAP1	DNA methyltransferase 1 associated protein 1	DMAP1_HUMAN	SANT_DAMP1_like PF16282 124-202, DMAP1 PF05499 242-400	DMAP1_MOUSE	Chromatin remodeling	#	NuA4, NuA4-related complex, SRCAP	#	#
DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	DNJC1_HUMAN	DnaJ PF00226 65-126, Myb_DNA-binding PF00249 496-541	DNJC1_MOUSE	Histone modification write cofactor, Histone modification erase cofactor	Histone acetylation, Histone deacetylation	#	#	#
DNAJC2	DnaJ (Hsp40) homolog, subfamily C, member 2	DNJC2_HUMAN	DnaJ PF00226 88-157, domain PF21884 178-283, RAC_head PF16717 340-426, Myb_DNA-binding PF00249 553-599	DNJC2_MOUSE	Histone modification read	#	#	H2A	#
DND1	DND microRNA-mediated repression inhibitor 1	DND1_HUMAN	RRM_1 PF00076 60-122, DND1_DSRM PF14709 256-331	DND1_MOUSE	RNA modification	#	#	#	#
DNMT1	DNA (cytosine-5-)-methyltransferase 1	DNMT1_HUMAN	DMAP_binding PF06464 19-101, DNMT1-RFD PF12047 394-535, zf-CXXC PF02008 646-691, BAH PF01426 755-878 931-1100, DNA_methylase PF00145 1140-1592	DNMT1_MOUSE	DNA modification	DNA methylation	#	dhC	dhU
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	DNM3A_HUMAN	domain PF22855 1-283, PWWP PF00855 293-374, ADD_DNMT3 PF17980 476-530, ADDz_Dnmt3b PF21255 537-586, DNA_methylase PF00145 634-766	DNM3A_MOUSE	DNA modification	DNA methylation	#	dhC	dhU
DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	DNM3B_HUMAN	PWWP PF00855 226-309, ADD_DNMT3 PF17980 423-471, ADDz_Dnmt3b PF21255 478-527, DNA_methylase PF00145 575-707	DNM3B_MOUSE	DNA modification	DNA methylation	#	dhC	dhU
DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like	DNM3L_HUMAN	ADD_DNMT3 PF17980 37-87, ADDz_Dnmt3b PF21255 96-146	DNM3L_MOUSE	Histone modification read	#	#	H3K4	#
DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2	TDIF2_HUMAN	Fcf2 PF08698 640-732	TDIF2_MOUSE	Chromatin remodeling	#	#	H2A, H2B	#
DOT1L	DOT1-like histone H3K79 methyltransferase	DOT1L_HUMAN	DOT1 PF08123 117-317	-	Histone modification write	Histone methylation	#	H3K79	#
DPF1	D4, zinc and double PHD fingers family 1	DPF1_HUMAN	DPF1-3_N PF14051 14-83, PHD PF00628 274-325 327-372	DPF1_MOUSE	Chromatin remodeling cofactor	#	nBAF, SWI/SNF BRM-BRG1	#	#
DPF2	D4, zinc and double PHD fingers family 2	REQU_HUMAN	DPF1-3_N PF14051 14-81, PHD PF00628 273-327 330-374	REQU_MOUSE	Chromatin remodeling	#	SWI/SNF BRM-BRG1	#	#
DPF3	D4, zinc and double PHD fingers, family 3	DPF3_HUMAN	DPF1-3_N PF14051 14-84, PHD PF00628 261-316 319-363	DPF3_MOUSE	Chromatin remodeling	#	BAF, nBAF, SWI/SNF BRM-BRG1	H3, H4	#
DPPA3	developmental pluripotency associated 3	DPPA3_HUMAN	PGC7_Stella PF15549 4-143	DPPA3_MOUSE	Histone modification read	#	#	H3K9me2	#
DPY30	dpy-30 homolog (C. elegans)	DPY30_HUMAN	Dpy-30 PF05186 52-92	DPY30_MOUSE	Histone modification write cofactor	Histone methylation	COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	#	#
DR1	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	NC2B_HUMAN	CBFD_NFYB_HMF PF00808 12-75	NC2B_MOUSE	Histone chaperone	#	ATAC	#	#
DTX3L	deltex 3 like, E3 ubiquitin ligase	DTX3L_HUMAN	DTX3L_a-b PF21717 134-194, DTX3L_KH-like PF21718 235-357 373-508, zf-C3HC4_2 PF13923 561-599, DTC PF18102 608-739	DTX3L_MOUSE	Histone modification write	Histone ubiquitination	#	H4K91	#
DZIP3	DAZ interacting zinc finger protein 3	DZIP3_HUMAN	TTC3_DZIP3_dom PF19179 229-330, HEPN_DZIP3 PF18738 421-546, zf-RING_2 PF13639 1148-1188	DZIP3_MOUSE	Histone modification write	Histone ubiquitination	#	H2AK119	H2AK119ub
E2F6	E2F transcription factor 6	E2F6_HUMAN	E2F_TDP PF02319 65-128, E2F_CC-MB PF16421 143-237	E2F6_MOUSE	TF	TF repressor	RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7	DNA motif	#
EED	embryonic ectoderm development	EED_HUMAN	WD40 PF00400 181-219 233-264 400-437	EED_MOUSE	Polycomb group (PcG) protein	#	PRC2	#	#
EEF1AKMT3	EEF1A lysine methyltransferase 3	EFMT3_HUMAN	Methyltransf_16 PF10294 38-195	EFMT3_MOUSE	Protein modification	Protein methylation	#	Lys165 of eEF1A	K165m
EEF1AKMT4	EEF1A lysine methyltransferase 4	EFMT4_HUMAN	Methyltransf_11 PF08241 63-172	EFMT4_MOUSE	Protein modification	Protein methylation	#	eEF1A (elongation factor alpha)	methylation K36
EEF1AKNMT	eEF1A lysine and N-terminal methyltransferase	EFNMT_HUMAN	domain PF13649 53-157, Spermine_synth PF01564 493-616	EFNMT_MOUSE	Protein modification	Protein methylation	#	Lys55 of eEF1A	K55m
EHMT1	euchromatic histone-lysine N-methyltransferase 1	EHMT1_HUMAN	EHMT1-2_CRR PF21533 539-633, Ank_4 PF13637 772-836, Ank_2 PF12796 838-904 907-990, Pre-SET PF05033 1015-1118, SET PF00856 1137-1243	EHMT1_MOUSE	Histone modification write	Histone methylation	#	H3K9	H3K9me1, H3K9me2
EHMT2	euchromatic histone-lysine N-methyltransferase 2	EHMT2_HUMAN	EHMT1-2_CRR PF21533 447-540, Ank_2 PF12796 655-746 750-816, Ank PF00023 850-882, Pre-SET PF05033 927-1030, SET PF00856 1049-1155	EHMT2_MOUSE	Histone modification write	Histone methylation	#	H3K9	H3K9me1, H3K9me2
EID1	EP300 interacting inhibitor of differentiation 1	EID1_HUMAN		EID1_MOUSE	Histone modification write cofactor	Histone acetylation	#	#	#
EID2	EP300 interacting inhibitor of differentiation 2	EID2_HUMAN		EID2_MOUSE	Histone modification write cofactor	Histone acetylation	#	#	#
EID2B	EP300 interacting inhibitor of differentiation 2B	EID2B_HUMAN		#	Histone modification erase cofactor	Histone acetylation	#	#	#
EIF4A3	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	IF4A3_HUMAN	DEAD PF00270 63-225, Helicase_C PF00271 264-372	IF4A3_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
ELP2	elongator acetyltransferase complex subunit 2	ELP2_HUMAN	WD40 PF00400 51-91 103-143 200-237 275-320 381-415 606-641 665-696	ELP2_MOUSE	Histone modification write cofactor	Histone acetylation	Pol2 elongator	#	#
ELP3	elongator acetyltransferase complex subunit 3	ELP3_HUMAN	Radical_SAM PF04055 107-295, Radical_SAM_C PF16199 312-392	ELP3_MOUSE	Histone modification write	Histone acetylation	Pol2 elongator	H3, H4?	#
ELP4	elongator acetyltransferase complex subunit 4	ELP4_HUMAN	PAXNEB PF05625 48-400	ELP4_MOUSE	Histone modification write cofactor	Histone acetylation	Pol2 elongator	#	#
ELP5	elongator acetyltransferase complex subunit 5	ELP5_HUMAN	Elong_Iki1 PF10483 11-181 222-281	ELP5_MOUSE	Histone modification write cofactor	Histone acetylation	Pol2 elongator	H3K14, H4K8	#
ELP6	elongator acetyltransferase complex subunit 6	ELP6_HUMAN	ELP6 PF09807 4-251	ELP6_MOUSE	Histone modification write cofactor	Histone acetylation	Pol2 elongator	#	#
ENY2	enhancer of yellow 2 homolog (Drosophila)	ENY2_HUMAN	EnY2 PF10163 13-95	ENY2_MOUSE	Histone modification erase cofactor	Histone ubiquitination	SAGA	#	#
EP300	E1A binding protein p300	EP300_HUMAN	zf-TAZ PF02135 335-415 1734-1806, KIX PF02172 567-648, Bromodomain PF00439 1067-1141, RING_CBP-p300 PF06001 1156-1194, HAT_KAT11 PF08214 1306-1611, ZZ PF00569 1665-1706, Creb_binding PF09030 2015-2097	EP300_MOUSE	Histone modification write	Histone acetylation	#	H2A, H2B, H3, H4	#
EP400	E1A binding protein p400	EP400_HUMAN	EP400_N PF15790 30-489, HSA PF07529 803-869 2178-2241, SNF2-rel_dom PF00176 1094-1372, Helicase_C PF00271 1899-2012	EP400_MOUSE	Chromatin remodeling, Histone modification write	Histone acetylation	SWR, NuA4, NuA4-related complex	#	#
EPC1	enhancer of polycomb homolog 1 (Drosophila)	EPC1_HUMAN	EPL1 PF10513 6-148, E_Pc_C PF06752 581-836	EPC1_MOUSE	Polycomb group (PcG) protein	#	NuA4, Piccolo_NuA4, NuA4-related complex	#	#
EPC2	enhancer of polycomb homolog 2 (Drosophila)	EPC2_HUMAN	EPL1 PF10513 4-148, E_Pc_C PF06752 575-807	EPC2_MOUSE	Chromatin remodeling	#	#	#	#
ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	ERBB4_HUMAN	Recep_L_domain PF01030 55-166 358-477, Furin-like PF00757 184-335, GF_recep_IV PF14843 502-633, TM_ErbB1 PF21314 653-687, PK_Tyr_Ser-Thr PF07714 718-974	ERBB4_MOUSE	Histone modification cofactor	#	#	H3K9me3	#
ERCC6	excision repair cross-complementation group 6	ERCC6_HUMAN	SNF2-rel_dom PF00176 509-810, Helicase_C PF00271 843-952	#	Chromatin remodeling	#	B-WICH	#	#
EXOSC1	exosome component 1	EXOS1_HUMAN	ECR1_N PF14382 8-43, EXOSC1 PF10447 95-135	EXOS1_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC2	exosome component 2	EXOS2_HUMAN	ECR1_N PF14382 26-64, RRP4_S1 PF21266 75-146, KH_6 PF15985 169-210	EXOS2_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC3	exosome component 3	EXOS3_HUMAN	RRP40_N_mamm PF21261 26-106, RRP40_S1 PF21262 108-191, KH_6 PF15985 197-244	EXOS3_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC4	exosome component 4	EXOS4_HUMAN	RNase_PH PF01138 21-152, RNase_PH_C PF03725 155-219	EXOS4_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC5	exosome component 5	EXOS5_HUMAN	RNase_PH PF01138 28-147, RNase_PH_C PF03725 151-215	EXOS5_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC6	exosome component 6	EXOS6_HUMAN	RNase_PH PF01138 37-175	EXOS6_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC7	exosome component 7	EXOS7_HUMAN	RNase_PH PF01138 32-166, RNase_PH_C PF03725 196-261	EXOS7_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC8	exosome component 8	EXOS8_HUMAN	RNase_PH PF01138 31-166, RNase_PH_C PF03725 192-257	EXOS8_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EXOSC9	exosome component 9	EXOS9_HUMAN	RNase_PH PF01138 32-163, RNase_PH_C PF03725 189-254	EXOS9_MOUSE	Scaffold protein, RNA modification	RNA degradation	RNA exosome	#	#
EYA1	EYA transcriptional coactivator and phosphatase 1	EYA1_HUMAN	Hydrolase PF00702 323-566	EYA1_MOUSE	Histone modification erase	Histone phosphorylation	#	H2AXT142	#
EYA2	EYA transcriptional coactivator and phosphatase 2	EYA2_HUMAN	Hydrolase PF00702 269-512	EYA2_MOUSE	Histone modification erase	Histone phosphorylation	#	H2AXT142	#
EYA3	EYA transcriptional coactivator and phosphatase 3	EYA3_HUMAN	Hydrolase PF00702 304-548	EYA3_MOUSE	Histone modification erase	Histone phosphorylation	#	H2AXT142	#
EYA4	EYA transcriptional coactivator and phosphatase 4	EYA4_HUMAN	Hydrolase PF00702 370-614	EYA4_MOUSE	Histone modification erase	Histone phosphorylation	#	H2AXY142ph	H2AXY142
EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	EZH1_HUMAN	EZH2_WD-Binding PF11616 39-68, PRC2_HTH_1 PF18118 160-262, Ezh2_MCSS PF21358 267-322, preSET_CXC PF18264 560-591, SET PF00856 624-727	EZH1_MOUSE	Histone modification write, Polycomb group (PcG) protein	Histone methylation	PRC2	H3K27	H3K27me1, H3K27me2, H3K27me3
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	EZH2_HUMAN	EZH2_WD-Binding PF11616 39-68, PRC2_HTH_1 PF18118 159-249, Ezh2_MCSS PF21358 259-309, preSET_CXC PF18264 559-590, SET PF00856 623-726	EZH2_MOUSE	Histone modification write, Polycomb group (PcG) protein	Histone methylation	PRC2	H3K27	H3K27me1, H3K27me2, H3K27me3
FAM175A	family with sequence similarity 175, member A	F175A_HUMAN	MPN_2A_DUB_like PF21125 9-172	F175A_MOUSE	Scaffold protein	#	BRCA1-A	#	#
FAM175B	family with sequence similarity 175, member B	F175B_HUMAN	MPN_2A_DUB_like PF21125 3-167	F175B_MOUSE	Histone modification erase cofactor	Histone ubiquitination	BRISC	H2AK63	H2AK63ub
FBL	fibrillarin	FBRL_HUMAN	Fibrillarin PF01269 88-314	FBRL_MOUSE	Histone modification write	Histone methylation	#	H2AQ104	H2AQ104me
